ダウンロードした時刻：2026/07/07 21:46:20

,東京,東京,東京,東京,東京,東京,東京,東京,東京,東京,東京,東京,東京,東京,東京,東京,東京,東京,東京
年月,平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),最高気温(℃),最高気温(℃),最高気温(℃),最高気温(℃),最高気温(℃),最高気温(℃),最高気温(℃),最低気温(℃),最低気温(℃),最低気温(℃),最低気温(℃),最低気温(℃),最低気温(℃),最低気温(℃)
,,,,平年値(℃),平年値(℃),,,日,日,,平年値(℃),平年値(℃),,,日,日,,平年値(℃),平年値(℃)
,,品質情報,均質番号,,品質情報,,品質情報,,品質情報,均質番号,,品質情報,,品質情報,,品質情報,均質番号,,品質情報
1970/1,4.5,8,1,,1,14.2,8,1970/1/13,8,1,,0,-4.0,8,1970/1/17,8,1,,0
1970/2,6.0,8,1,,1,17.7,8,1970/2/19,8,1,,0,-2.2,8,1970/2/11,8,1,,0
1970/3,5.5,8,1,,1,16.5,8,1970/3/30,8,1,,0,-2.6,8,1970/3/6,8,1,,0
1970/4,13.0,8,1,,1,24.1,8,1970/4/29,8,1,,0,4.9,8,1970/4/14,8,1,,0
1970/5,19.6,8,1,,1,30.0,8,1970/5/18,8,1,,0,11.2,8,1970/5/1,8,1,,0
1970/6,20.7,8,1,,1,31.0,8,1970/6/28,8,1,,0,13.1,8,1970/6/17,8,1,,0
1970/7,25.4,8,1,,1,34.9,8,1970/7/26,8,1,,0,17.1,8,1970/7/8,8,1,,0
1970/8,27.4,8,1,,1,35.5,8,1970/8/29,8,1,,0,19.9,8,1970/8/13,8,1,,0
1970/9,24.0,8,1,,1,35.4,8,1970/9/3,8,1,,0,13.5,8,1970/9/27,8,1,,0
1970/10,17.2,8,1,,1,26.1,8,1970/10/10,8,1,,0,7.4,8,1970/10/29,8,1,,0
1970/11,12.3,8,1,,1,23.4,8,1970/11/14,8,1,,0,2.0,8,1970/11/30,8,1,,0
1970/12,6.8,8,1,,1,20.5,8,1970/12/13,8,1,,0,-0.6,8,1970/12/29,8,1,,0
1971/1,5.1,8,1,,1,13.5,8,1971/1/18,8,1,,0,-2.2,8,1971/1/11,8,1,,0
1971/2,5.9,8,1,,1,16.2,8,1971/2/27,8,1,,0,-1.5,8,1971/2/5,8,1,,0
1971/3,8.3,8,1,,1,20.4,8,1971/3/29,8,1,,0,-0.9,8,1971/3/8,8,1,,0
1971/4,13.5,8,1,,1,25.9,8,1971/4/23,8,1,,0,5.3,8,1971/4/12,8,1,,0
1971/5,17.4,8,1,,1,28.8,8,1971/5/26,8,1,,0,9.4,8,1971/5/3,8,1,,0
1971/6,21.3,8,1,,1,30.7,8,1971/6/28,8,1,,0,15.4,8,1971/6/7,8,1,,0
1971/7,25.8,8,1,,1,33.7,8,1971/7/8,8,1,,0,18.6,8,1971/7/2,8,1,,0
1971/8,26.7,8,1,,1,34.4,8,1971/8/11,8,1,,0,19.4,8,1971/8/19,8,1,,0
1971/9,21.1,8,1,,1,30.8,8,1971/9/24,8,1,,0,14.6,8,1971/9/30,8,1,,0
1971/10,15.5,8,1,,1,24.1,8,1971/10/2,8,1,,0,7.4,8,1971/10/29,8,1,,0
1971/11,11.9,8,1,,1,21.3,8,1971/11/1,8,1,,0,1.5,8,1971/11/30,8,1,,0
1971/12,7.9,8,1,,1,19.3,8,1971/12/3,8,1,,0,1.0,8,1971/12/9,8,1,,0
1972/1,6.6,8,1,,1,16.8,8,1972/1/25,8,1,,0,-2.1,8,1972/1/7,8,1,,0
1972/2,5.1,8,1,,1,14.6,8,1972/2/14,8,1,,0,-1.5,8,1972/2/9,8,1,,0
1972/3,9.7,8,1,,1,24.1,8,1972/3/31,8,1,,0,0.8,8,1972/3/2,8,1,,0
1972/4,13.4,8,1,,1,25.5,8,1972/4/29,8,1,,0,2.3,8,1972/4/3,8,1,,0
1972/5,18.6,8,1,,1,26.7,8,1972/5/27,8,1,,0,9.4,8,1972/5/3,8,1,,0
1972/6,21.4,8,1,,1,31.2,8,1972/6/10,8,1,,0,14.7,8,1972/6/5,8,1,,0
1972/7,25.2,8,1,,1,32.1,8,1972/7/14,8,1,,0,17.9,8,1972/7/28,8,1,,0
1972/8,26.6,8,1,,1,35.2,8,1972/8/8,8,1,,0,19.1,8,1972/8/23,8,1,,0
1972/9,23.1,8,1,,1,31.6,8,1972/9/1,8,1,,0,16.2,8,1972/9/29,8,1,,0
1972/10,18.5,8,1,,1,26.2,8,1972/10/5,8,1,,0,10.9,8,1972/10/31,8,1,,0
1972/11,12.3,8,1,,1,22.9,8,1972/11/17,8,1,,0,3.1,8,1972/11/26,8,1,,0
1972/12,8.1,8,1,,1,16.9,8,1972/12/12,8,1,,0,0.0,8,1972/12/14,8,1,,0
1973/1,6.3,8,1,,1,17.3,8,1973/1/25,8,1,,0,-0.4,8,1973/1/29,8,1,,0
1973/2,6.9,8,1,,1,18.0,8,1973/2/23,8,1,,0,-1.9,8,1973/2/9,8,1,,0
1973/3,7.8,8,1,,1,22.4,8,1973/3/28,8,1,,0,-0.8,8,1973/3/6,8,1,,0
1973/4,15.3,8,1,,1,26.6,8,1973/4/12,8,1,,0,5.5,8,1973/4/6,8,1,,0
1973/5,17.9,8,1,,1,27.5,8,1973/5/27,8,1,,0,9.5,8,1973/5/24,8,1,,0
1973/6,19.8,8,1,,1,27.8,8,1973/6/24,8,1,,0,13.4,8,1973/6/3,8,1,,0
1973/7,26.1,8,1,,1,34.7,8,1973/7/18,8,1,,0,19.4,8,1973/7/4,8,1,,0
1973/8,28.5,8,1,,1,34.3,8,1973/8/20,8,1,,0,24.0,8,1973/8/24,8,1,,0
1973/9,23.2,8,1,,1,34.5,8,1973/9/2,8,1,,0,17.1,8,1973/9/30,8,1,,0
1973/10,17.4,8,1,,1,28.2,8,1973/10/3,8,1,,0,9.5,8,1973/10/30,8,1,,0
1973/11,12.1,8,1,,1,22.0,8,1973/11/16,8,1,,0,3.0,8,1973/11/30,8,1,,0
1973/12,6.6,8,1,,1,16.4,8,1973/12/3,8,1,,0,-1.7,8,1973/12/25,8,1,,0
1974/1,4.4,8,1,,1,13.6,8,1974/1/2,8,1,,0,-2.0,8,1974/1/27,8,1,,0
1974/2,5.1,8,1,,1,18.1,8,1974/2/23,8,1,,0,-2.7,8,1974/2/11,8,1,,0
1974/3,7.3,8,1,,1,20.1,8,1974/3/4,8,1,,0,-0.6,8,1974/3/13,8,1,,0
1974/4,14.8,8,1,,1,23.8,8,1974/4/29,8,1,,0,3.6,8,1974/4/3,8,1,,0
1974/5,19.3,8,1,,1,29.5,8,1974/5/18,8,1,,0,10.4,8,1974/5/7,8,1,,0
1974/6,21.9,8,1,,1,28.9,8,1974/6/1,8,1,,0,16.1,8,1974/6/4,8,1,,0
1974/7,23.4,8,1,,1,34.2,8,1974/7/30,8,1,,0,16.2,8,1974/7/13,8,1,,0
1974/8,27.1,8,1,,1,34.2,8,1974/8/7,8,1,,0,22.2,8,1974/8/18,8,1,,0
1974/9,22.8,8,1,,1,32.3,8,1974/9/7,8,1,,0,14.7,8,1974/9/23,8,1,,0
1974/10,17.8,8,1,,1,26.1,8,1974/10/19,8,1,,0,9.1,8,1974/10/25,8,1,,0
1974/11,11.7,8,1,,1,22.3,8,1974/11/8,8,1,,0,3.2,8,1974/11/16,8,1,,0
1974/12,6.7,8,1,,1,15.7,8,1974/12/14,8,1,,0,-0.1,8,1974/12/22,8,1,,0
1975/1,4.7,8,1,,1,17.6,8,1975/1/25,8,1,,0,-1.8,8,1975/1/18,8,1,,0
1975/2,5.1,8,1,,1,15.0,8,1975/2/25,8,1,,0,-2.6,8,1975/2/18,8,1,,0
1975/3,7.9,8,1,,1,18.6,8,1975/3/21,8,1,,0,-0.8,8,1975/3/2,8,1,,0
1975/4,14.3,8,1,,1,24.0,8,1975/4/30,8,1,,0,4.8,8,1975/4/4,8,1,,0
1975/5,18.6,8,1,,1,28.3,8,1975/5/5,8,1,,0,11.5,8,1975/5/7,8,1,,0
1975/6,21.6,8,1,,1,29.5,8,1975/6/19,8,1,,0,15.4,8,1975/6/12,8,1,,0
1975/7,25.6,8,1,,1,35.6,8,1975/7/18,8,1,,0,17.9,8,1975/7/4,8,1,,0
1975/8,27.3,8,1,,1,35.5,8,1975/8/5,8,1,,0,21.0,8,1975/8/10,8,1,,0
1975/9,25.2,8,1,,1,34.1,8,1975/9/16,8,1,,0,15.8,8,1975/9/30,8,1,,0
1975/10,17.3,8,1,,1,27.9,8,1975/10/6,8,1,,0,7.5,8,1975/10/31,8,1,,0
1975/11,12.7,8,1,,1,25.1,8,1975/11/16,8,1,,0,3.1,8,1975/11/25,8,1,,0
1975/12,6.7,8,1,,1,15.3,8,1975/12/4,8,1,,0,0.5,8,1975/12/28,8,1,,0
1976/1,5.4,8,1,,1,18.6,8,1976/1/5,8,1,,0,-3.9,8,1976/1/22,8,1,,0
1976/2,6.8,8,1,,1,18.3,8,1976/2/29,8,1,,0,-2.8,8,1976/2/13,8,1,,0
1976/3,9.0,8,1,,1,19.1,8,1976/3/18,8,1,,0,1.2,8,1976/3/21,8,1,,0
1976/4,13.0,8,1,,1,23.7,8,1976/4/24,8,1,,0,3.8,8,1976/4/9,8,1,,0
1976/5,17.7,8,1,,1,28.2,8,1976/5/13,8,1,,0,8.4,8,1976/5/4,8,1,,0
1976/6,21.5,8,1,,1,29.3,8,1976/6/2,8,1,,0,14.1,8,1976/6/30,8,1,,0
1976/7,23.9,8,1,,1,33.4,8,1976/7/31,8,1,,0,14.0,8,1976/7/3,8,1,,0
1976/8,25.1,8,1,,1,35.4,8,1976/8/24,8,1,,0,17.9,8,1976/8/31,8,1,,0
1976/9,22.0,8,1,,1,31.6,8,1976/9/10,8,1,,0,13.5,8,1976/9/24,8,1,,0
1976/10,17.5,8,1,,1,26.9,8,1976/10/4,8,1,,0,7.8,8,1976/10/30,8,1,,0
1976/11,11.2,8,1,,1,24.1,8,1976/11/4,8,1,,0,1.6,8,1976/11/30,8,1,,0
1976/12,7.3,8,1,,1,15.2,8,1976/12/17,8,1,,0,-2.3,8,1976/12/30,8,1,,0
1977/1,3.4,8,1,,1,17.9,8,1977/1/26,8,1,,0,-2.7,8,1977/1/5,8,1,,0
1977/2,4.9,8,1,,1,20.3,8,1977/2/26,8,1,,0,-3.8,8,1977/2/1,8,1,,0
1977/3,9.3,8,1,,1,20.1,8,1977/3/9,8,1,,0,-3.3,8,1977/3/6,8,1,,0
1977/4,15.1,8,1,,1,25.8,8,1977/4/28,8,1,,0,5.3,8,1977/4/4,8,1,,0
1977/5,18.7,8,1,,1,30.5,8,1977/5/20,8,1,,0,10.4,8,1977/5/5,8,1,,0
1977/6,20.9,8,1,,1,29.5,8,1977/6/3,8,1,,0,14.1,8,1977/6/19,8,1,,0
1977/7,25.8,8,1,,1,33.6,8,1977/7/13,8,1,,0,17.4,8,1977/7/9,8,1,,0
1977/8,25.0,8,1,,1,34.9,8,1977/8/9,8,1,,0,17.6,8,1977/8/23,8,1,,0
1977/9,24.3,8,1,,1,32.3,8,1977/9/12,8,1,,0,16.5,8,1977/9/17,8,1,,0
1977/10,18.7,8,1,,1,27.6,8,1977/10/1,8,1,,0,10.6,8,1977/10/22,8,1,,0
1977/11,14.8,8,1,,1,26.7,8,1977/11/1,8,1,,0,5.3,8,1977/11/13,8,1,,0
1977/12,8.9,8,1,,1,22.0,8,1977/12/17,8,1,,0,0.3,8,1977/12/29,8,1,,0
1978/1,5.6,8,1,,1,16.3,8,1978/1/15,8,1,,0,-1.6,8,1978/1/30,8,1,,0
1978/2,4.2,8,1,,1,15.7,8,1978/2/28,8,1,,0,-2.0,8,1978/2/3,8,1,,0
1978/3,8.7,8,1,,1,18.8,8,1978/3/27,8,1,,0,1.0,8,1978/3/2,8,1,,0
1978/4,13.9,8,1,,1,24.5,8,1978/4/20,8,1,,0,4.5,8,1978/4/2,8,1,,0
1978/5,19.0,8,1,,1,26.0,8,1978/5/28,8,1,,0,8.6,8,1978/5/7,8,1,,0
1978/6,23.8,8,1,,1,31.6,8,1978/6/20,8,1,,0,15.0,8,1978/6/1,8,1,,0
1978/7,27.8,8,1,,1,33.6,8,1978/7/23,8,1,,0,21.5,8,1978/7/1,8,1,,0
1978/8,28.9,8,1,,1,36.3,8,1978/8/22,8,1,,0,21.9,8,1978/8/26,8,1,,0
1978/9,22.2,8,1,,1,33.1,8,1978/9/10,8,1,,0,15.8,8,1978/9/29,8,1,,0
1978/10,17.3,8,1,,1,26.6,8,1978/10/2,8,1,,0,10.4,8,1978/10/14,8,1,,0
1978/11,12.9,8,1,,1,22.1,8,1978/11/9,8,1,,0,5.4,8,1978/11/25,8,1,,0
1978/12,8.5,8,1,,1,18.9,8,1978/12/2,8,1,,0,0.0,8,1978/12/21,8,1,,0
1979/1,6.6,8,1,,1,16.6,8,1979/1/10,8,1,,0,-0.5,8,1979/1/29,8,1,,0
